transaction_id,date,branch,product_category,product_name,unit_price,quantity_sold,total_sales,payment_method,customer_gender,customer_age,satisfaction_rating,promo_status,daily_ad_spend
TRX01019,2026-01-08,Malang,Home Appliances,Rice Cooker,1693000,4,6772000,E-Wallet,F,44.0,2.0,Regular,1506000
TRX01099,2026-01-08,Malang,Laptop,Laptop A14,7964000,4,31856000,E-Wallet,M,34.0,4.0,Regular,1810000
TRX00817,2026-01-08,Jakarta,Smartphone,Smartphone MaxEdge,2893000,5,14465000,Credit Card,F,27.0,2.0,Regular,2438000
TRX00870,2026-01-08,Surabaya,Smartphone,Smartphone NovaLite,3798000,1,3798000,Credit Card,M,40.0,5.0,Regular,1858000
TRX01240,2026-01-08,Malang,Smartphone,Smartphone MaxEdge,6103000,2,12206000,Cash,M,41.0,5.0,Regular,2979000
TRX01871,2026-01-08,Surabaya,Accessories,Powerbank 10000mAh,475000,1,475000,E-Wallet,F,27.0,5.0,Regular,1220000
TRX00056,2026-01-08,Malang,Smartphone,Smartphone MaxEdge,5410000,2,10820000,Debit Card,M,35.0,5.0,Regular,2084000
TRX02038,2026-01-08,Malang,Accessories,Phone Case,438000,3,1314000,Credit Card,F,44.0,,Regular,1029000
TRX00397,2026-01-09,Bandung,Smartphone,Smartphone Z5,7936000,3,23808000,Credit Card,M,41.0,2.0,Regular,1681000
TRX01781,2026-01-09,Malang,Laptop,Laptop ProBook,5573000,4,22292000,E-Wallet,F,39.0,3.0,Regular,844000
TRX01270,2026-01-09,Surabaya,Smartphone,Smartphone Air,7784000,3,23352000,E-Wallet,F,38.0,4.0,Regular,2458000
TRX01286,2026-01-09,Jakarta,Accessories,Powerbank 10000mAh,278000,3,834000,Debit Card,F,51.0,5.0,Regular,1639000
TRX01526,2026-01-09,Surabaya,Smartphone,Smartphone Air,7320000,1,7320000,Debit Card,M,42.0,,Regular,2210000
TRX01518,2026-01-09,Bandung,Smartphone,Smartphone Air,3534000,4,14136000,Debit Card,F,43.0,,Regular,2738000
TRX00574,2026-01-09,Malang,Laptop,Laptop ProBook,8428000,3,25284000,Credit Card,M,39.0,5.0,Regular,786000
TRX01463,2026-01-09,Jakarta,Home Appliances,Electric Fan,1269000,4,5076000,Debit Card,M,43.0,4.0,Regular,2329000
TRX01110,2026-01-09,Malang,Laptop,Laptop UltraSlim,9054000,3,27162000,Credit Card,F,40.0,4.0,Regular,2214000
TRX01806,2026-01-09,Jakarta,Smartphone,Smartphone Air,4792000,5,23960000,Debit Card,M,34.0,4.0,Regular,1103000
TRX00352,2026-01-09,Jakarta,Laptop,Laptop A14,13759000,2,27518000,Debit Card,M,30.0,3.0,Regular,2452000
TRX00699,2026-01-10,Surabaya,Smartphone,Smartphone MaxEdge,4910000,1,4910000,E-Wallet,F,39.0,5.0,Regular,674000
TRX01464,2026-01-10,Surabaya,Smartphone,Smartphone Z5,6886000,5,34430000,Debit Card,M,31.0,3.0,Regular,1678000
TRX00848,2026-01-10,Bandung,Accessories,Wireless Mouse,412000,4,1648000,Cash,M,40.0,4.0,Regular,910000
TRX00887,2026-01-10,Malang,Laptop,Laptop X1,10001000,4,40004000,Credit Card,F,36.0,5.0,Regular,2371000
TRX00898,2026-01-10,Surabaya,Home Appliances,TV LED 32in,3057000,5,15285000,E-Wallet,M,26.0,2.0,Regular,383000
TRX01267,2026-01-10,Malang,Accessories,Powerbank 10000mAh,336000,2,672000,Debit Card,M,31.0,3.0,Regular,1897000
TRX01983,2026-01-10,Jakarta,Home Appliances,Electric Fan,1938000,5,9690000,Cash,F,30.0,4.0,Regular,2707000
TRX01453,2026-01-10,Jakarta,Smartphone,Smartphone Air,4330000,4,17320000,Debit Card,F,32.0,5.0,Regular,288000
TRX01976,2026-01-10,Bandung,Accessories,Wireless Mouse,146000,5,730000,Credit Card,M,27.0,5.0,Regular,370000
TRX01653,2026-01-10,Jakarta,Laptop,Laptop UltraSlim,7007000,4,28028000,Credit Card,F,33.0,4.0,Regular,1834000
TRX01642,2026-01-10,Jakarta,Laptop,Laptop UltraSlim,6731000,5,33655000,Cash,F,46.0,2.0,Regular,697000
TRX00584,2026-01-10,Malang,Smartphone,Smartphone Air,3689000,5,18445000,Cash,F,38.0,5.0,Regular,991000
TRX00546,2026-01-10,Surabaya,Smartphone,Smartphone MaxEdge,3755000,4,15020000,E-Wallet,M,38.0,5.0,Regular,2095000
TRX00150,2026-01-11,Bandung,Accessories,Phone Case,101000,1,101000,Debit Card,F,,,Regular,891000
TRX01979,2026-01-11,Jakarta,Laptop,Laptop X1,8857000,2,17714000,Debit Card,M,23.0,5.0,Regular,1558000
TRX01026,2026-01-11,Surabaya,Smartphone,Smartphone NovaLite,3656000,2,7312000,E-Wallet,M,31.0,2.0,Regular,2089000
TRX00542,2026-01-11,Malang,Accessories,Phone Case,323000,2,646000,E-Wallet,M,19.0,4.0,Regular,1344000
TRX01615,2026-01-11,Bandung,Smartphone,Smartphone Air,5847000,2,11694000,Cash,M,31.0,4.0,Regular,485000
TRX01801,2026-01-11,Surabaya,Smartphone,Smartphone Air,1567000,2,3134000,Cash,M,39.0,4.0,Regular,972000
TRX00858,2026-01-11,Malang,Laptop,Laptop A14,10199000,4,40796000,Debit Card,F,40.0,5.0,Regular,1595000
TRX01470,2026-01-11,Bandung,Accessories,Powerbank 10000mAh,304000,3,912000,E-Wallet,F,37.0,3.0,Regular,1378000
TRX01411,2026-01-11,Surabaya,Accessories,Wireless Mouse,278000,4,1112000,Debit Card,F,28.0,5.0,Regular,2491000
TRX01021,2026-01-11,Malang,Accessories,Powerbank 10000mAh,199000,3,597000,Debit Card,M,31.0,4.0,Regular,1266000
TRX01136,2026-01-11,Bandung,Smartphone,Smartphone Air,6325000,1,6325000,E-Wallet,F,37.0,4.0,Regular,1105000
TRX01351,2026-01-11,Jakarta,Accessories,Wireless Mouse,448000,1,448000,Credit Card,F,54.0,1.0,Regular,2302000
TRX01889,2026-01-12,Malang,Home Appliances,Rice Cooker,5545000,4,22180000,Cash,F,40.0,4.0,Regular,484000
TRX00619,2026-01-12,Jakarta,Accessories,Powerbank 10000mAh,173000,3,519000,E-Wallet,F,26.0,4.0,Regular,614000
TRX02002,2026-01-12,Malang,Accessories,Bluetooth Earphones,312000,2,624000,Debit Card,M,30.0,5.0,Regular,1748000
TRX01456,2026-01-12,Jakarta,Smartphone,Smartphone Air,2894000,5,14470000,Debit Card,F,33.0,,Regular,356000
TRX02129,2026-01-12,Jakarta,Home Appliances,TV LED 32in,3611000,3,10833000,E-Wallet,M,27.0,,Regular,911000
TRX00279,2026-01-12,Jakarta,Accessories,Phone Case,197000,3,591000,E-Wallet,M,42.0,4.0,Regular,2805000
TRX00036,2026-01-12,Surabaya,Smartphone,Smartphone Z5,3441000,5,17205000,Debit Card,M,32.0,5.0,Regular,2708000
TRX01953,2026-01-13,Jakarta,Smartphone,Smartphone Z5,4653000,5,23265000,E-Wallet,M,31.0,4.0,Regular,2938000
TRX00899,2026-01-13,Jakarta,Laptop,Laptop A14,10970000,2,21940000,Credit Card,M,36.0,3.0,Regular,1485000
TRX00045,2026-01-13,Surabaya,Smartphone,Smartphone Air,6776000,5,33880000,Cash,M,39.0,5.0,Regular,571000
TRX00518,2026-01-13,Surabaya,Smartphone,Smartphone MaxEdge,1810000,2,3620000,E-Wallet,F,35.0,2.0,Regular,2394000
TRX01834,2026-01-13,Bandung,Smartphone,Smartphone Z5,6817000,3,20451000,Debit Card,F,,4.0,Regular,1907000
TRX00387,2026-01-13,Bandung,Smartphone,Smartphone Air,7753000,4,31012000,Debit Card,F,22.0,4.0,Regular,1781000
TRX01035,2026-01-13,Surabaya,Accessories,Powerbank 10000mAh,126000,3,378000,Debit Card,M,36.0,5.0,Regular,693000
TRX01362,2026-01-13,Jakarta,Home Appliances,Rice Cooker,5597000,2,11194000,Debit Card,F,31.0,5.0,Regular,802000
TRX01769,2026-01-13,Bandung,Smartphone,Smartphone NovaLite,7586000,3,22758000,Credit Card,F,,4.0,Regular,1002000
TRX01022,2026-01-14,Malang,Smartphone,Smartphone Z5,7547000,5,37735000,Debit Card,F,54.0,4.0,Regular,235000
TRX00069,2026-01-14,Jakarta,Laptop,Laptop A14,7641000,1,7641000,Debit Card,M,24.0,4.0,Regular,2026000
TRX01215,2026-01-14,Surabaya,Laptop,Laptop A14,10690000,3,32070000,Cash,M,,4.0,Regular,1549000
TRX00659,2026-01-14,Bandung,Laptop,Laptop X1,8108000,4,32432000,Debit Card,M,,2.0,Regular,2907000
TRX01911,2026-01-14,Malang,Smartphone,Smartphone Air,1933000,1,1933000,Credit Card,F,26.0,4.0,Regular,2022000
TRX01055,2026-01-14,Jakarta,Home Appliances,Rice Cooker,3878000,1,3878000,E-Wallet,F,38.0,5.0,Regular,1310000
TRX01253,2026-01-14,Malang,Laptop,Laptop A14,6232000,3,18696000,Debit Card,F,27.0,4.0,Regular,2843000
TRX02025,2026-01-14,Malang,Laptop,Laptop X1,5174000,3,15522000,Debit Card,F,,4.0,Regular,1676000
TRX00439,2026-01-15,Jakarta,Accessories,Powerbank 10000mAh,390000,3,1170000,Debit Card,F,21.0,4.0,Regular,1737000
TRX01361,2026-01-15,Bandung,Accessories,Phone Case,396000,5,1980000,Debit Card,M,18.0,,Regular,2275000
TRX01027,2026-01-15,Surabaya,Laptop,Laptop A14,9974000,1,9974000,E-Wallet,M,29.0,4.0,Regular,2960000
TRX00280,2026-01-15,Surabaya,Laptop,Laptop UltraSlim,8492000,1,8492000,Debit Card,M,37.0,,Regular,1394000
TRX00127,2026-01-15,Surabaya,Laptop,Laptop A14,10975000,2,21950000,Debit Card,M,23.0,4.0,Regular,1329000
TRX00217,2026-01-15,Surabaya,Accessories,Wireless Mouse,387000,4,1548000,Credit Card,F,,5.0,Regular,985000
TRX01096,2026-01-15,Jakarta,Smartphone,Smartphone NovaLite,6030000,2,12060000,Cash,M,31.0,4.0,Regular,2786000
TRX01571,2026-01-15,Jakarta,Smartphone,Smartphone Air,1583000,2,3166000,E-Wallet,M,43.0,4.0,Regular,2397000
TRX01851,2026-01-15,Malang,Accessories,Wireless Mouse,136000,2,272000,Debit Card,F,38.0,5.0,Regular,2188000
TRX01588,2026-01-15,Jakarta,Accessories,Phone Case,130000,3,390000,Debit Card,F,21.0,4.0,Regular,585000
TRX01328,2026-01-16,Jakarta,Smartphone,Smartphone Z5,3540000,1,3540000,E-Wallet,F,43.0,4.0,Regular,2764000
TRX01256,2026-01-16,Jakarta,Accessories,Wireless Mouse,386000,1,386000,Cash,M,18.0,4.0,Regular,2078000
TRX01122,2026-01-16,Surabaya,Laptop,Laptop UltraSlim,10011000,2,20022000,Debit Card,F,49.0,4.0,Regular,2803000
TRX00196,2026-01-16,Surabaya,Accessories,Wireless Mouse,223000,3,669000,Debit Card,M,28.0,4.0,Regular,2224000
TRX00246,2026-01-16,Jakarta,Smartphone,Smartphone NovaLite,1904000,4,7616000,Debit Card,M,,4.0,Regular,1791000
TRX00431,2026-01-16,Surabaya,Home Appliances,Electric Fan,3645000,2,7290000,Cash,M,23.0,4.0,Regular,1400000
TRX00678,2026-01-16,Surabaya,Laptop,Laptop UltraSlim,7049000,2,14098000,E-Wallet,M,38.0,4.0,Regular,964000
TRX00007,2026-01-16,Malang,Laptop,Laptop UltraSlim,5010000,1,5010000,Credit Card,F,38.0,4.0,Regular,1880000
TRX00881,2026-01-16,Bandung,Accessories,Powerbank 10000mAh,445000,3,1335000,Credit Card,F,36.0,2.0,Regular,583000
TRX00728,2026-01-16,Surabaya,Accessories,Phone Case,484000,1,484000,Credit Card,M,19.0,4.0,Regular,1388000
TRX00753,2026-01-16,Surabaya,Smartphone,Smartphone MaxEdge,2224000,3,6672000,Credit Card,F,41.0,4.0,Regular,211000
TRX00910,2026-01-17,Jakarta,Laptop,Laptop ProBook,13374000,3,40122000,Cash,F,18.0,2.0,Regular,2299000
TRX00581,2026-01-17,Jakarta,Accessories,Bluetooth Earphones,470000,1,470000,Debit Card,F,28.0,5.0,Regular,1232000
TRX00695,2026-01-17,Bandung,Laptop,Laptop ProBook,8321000,4,33284000,E-Wallet,M,35.0,,Regular,2894000
TRX02082,2026-01-17,Malang,Accessories,Phone Case,426000,4,1704000,Debit Card,M,27.0,5.0,Regular,2841000
TRX01543,2026-01-17,Surabaya,Smartphone,Smartphone MaxEdge,1676000,3,5028000,Debit Card,M,36.0,3.0,Regular,1657000
TRX01721,2026-01-17,Malang,Home Appliances,Rice Cooker,1572000,3,4716000,Credit Card,F,,5.0,Regular,603000
TRX02033,2026-01-17,Malang,Laptop,Laptop ProBook,5933000,4,23732000,Credit Card,F,26.0,,Regular,470000
TRX01931,2026-01-17,Jakarta,Accessories,Wireless Mouse,413000,2,826000,Cash,F,52.0,5.0,Regular,2211000
TRX00133,2026-01-17,Malang,Home Appliances,Electric Fan,1471000,5,7355000,Credit Card,M,46.0,4.0,Regular,776000
TRX01531,2026-01-17,Malang,Smartphone,Smartphone NovaLite,5874000,2,11748000,E-Wallet,M,37.0,4.0,Regular,1000000
TRX01809,2026-01-17,Bandung,Smartphone,Smartphone NovaLite,5764000,3,17292000,Credit Card,M,35.0,,Regular,957000
TRX00359,2026-01-17,Bandung,Home Appliances,Rice Cooker,1163000,3,3489000,Debit Card,M,24.0,4.0,Regular,1620000
TRX01633,2026-01-17,Surabaya,Accessories,Wireless Mouse,74000,5,370000,Credit Card,M,36.0,4.0,Regular,1812000
TRX00826,2026-01-17,Malang,Laptop,Laptop X1,9029000,2,18058000,Cash,F,18.0,2.0,Regular,2097000
TRX00033,2026-01-17,Malang,Laptop,Laptop UltraSlim,11160000,3,33480000,Cash,M,37.0,5.0,Regular,2121000
TRX00951,2026-01-17,Bandung,Smartphone,Smartphone MaxEdge,5253000,4,21012000,Debit Card,F,,4.0,Regular,1859000
TRX00172,2026-01-17,Surabaya,Smartphone,Smartphone Z5,3091000,5,15455000,Debit Card,M,31.0,4.0,Regular,208000
TRX00001,2026-01-17,Malang,Home Appliances,Rice Cooker,1690000,4,6760000,Debit Card,M,,4.0,Regular,2650000
TRX00010,2026-01-18,Malang,Laptop,Laptop X1,6492000,4,25968000,E-Wallet,F,54.0,3.0,Regular,689000
TRX00376,2026-01-18,Surabaya,Home Appliances,Electric Fan,5155000,1,5155000,E-Wallet,F,46.0,,Regular,493000
TRX00218,2026-01-18,Malang,Laptop,Laptop UltraSlim,12511000,1,12511000,Debit Card,M,40.0,4.0,Regular,1135000
TRX00700,2026-01-18,Jakarta,Laptop,Laptop A14,10570000,3,31710000,Debit Card,F,40.0,5.0,Regular,1643000
TRX00674,2026-01-18,Bandung,Laptop,Laptop X1,12876000,3,38628000,E-Wallet,M,21.0,3.0,Regular,1975000
TRX00243,2026-01-18,Surabaya,Home Appliances,Rice Cooker,4089000,2,8178000,Debit Card,F,54.0,4.0,Regular,707000
TRX00588,2026-01-18,Surabaya,Accessories,Bluetooth Earphones,140000,5,700000,E-Wallet,F,26.0,4.0,Regular,2534000
TRX00791,2026-01-18,Malang,Laptop,Laptop ProBook,14488000,1,14488000,Debit Card,F,43.0,5.0,Regular,472000
TRX01690,2026-01-18,Surabaya,Laptop,Laptop UltraSlim,10088000,2,20176000,E-Wallet,F,39.0,3.0,Regular,1640000
TRX00977,2026-01-18,Bandung,Smartphone,Smartphone Air,2198000,2,4396000,Credit Card,F,34.0,4.0,Regular,630000
TRX01842,2026-01-18,Malang,Smartphone,Smartphone MaxEdge,7217000,3,21651000,Credit Card,F,47.0,4.0,Regular,899000
TRX00087,2026-01-18,Surabaya,Smartphone,Smartphone Air,3660000,3,10980000,Cash,F,23.0,,Regular,1009000
TRX01788,2026-01-18,Bandung,Smartphone,Smartphone Air,6235000,2,12470000,Debit Card,M,26.0,4.0,Regular,2851000
TRX00258,2026-01-19,Surabaya,Home Appliances,2-Door Refrigerator,4387000,3,13161000,Debit Card,M,19.0,4.0,Regular,930000
TRX01359,2026-01-19,Malang,Smartphone,Smartphone MaxEdge,2318000,4,9272000,E-Wallet,M,34.0,5.0,Regular,2802000
TRX01450,2026-01-19,Malang,Laptop,Laptop UltraSlim,12702000,1,12702000,E-Wallet,M,39.0,3.0,Regular,1050000
TRX01880,2026-01-19,Bandung,Smartphone,Smartphone MaxEdge,7198000,5,35990000,Credit Card,M,40.0,5.0,Regular,1823000
